npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8080
 HTTP  3/11/2026 9:25:04 PM ::1 GET /svgviewer.html
 HTTP  3/11/2026 9:25:04 PM ::1 Returned 301 in 389 ms
 HTTP  3/11/2026 9:25:05 PM ::1 GET /svgviewer
 HTTP  3/11/2026 9:25:05 PM ::1 Returned 200 in 16 ms
 HTTP  3/11/2026 9:25:05 PM ::1 GET /css/style.css
 HTTP  3/11/2026 9:25:05 PM ::1 Returned 200 in 6 ms
 HTTP  3/11/2026 9:25:05 PM ::1 GET /js/app.js
 HTTP  3/11/2026 9:25:05 PM ::1 Returned 200 in 27 ms
 HTTP  3/11/2026 9:25:05 PM ::1 GET /fonts-nippo/Nippo-Variable.woff2
 HTTP  3/11/2026 9:25:05 PM ::1 Returned 200 in 5 ms
